date,count
2020-03-13,2
2020-03-14,3
2020-03-15,NA
2020-03-16,4
2020-03-17,NA
2020-03-18,14
2020-03-19,14
2020-03-20,15
2020-03-21,16
2020-03-22,26
2020-03-23,34
2020-03-24,50
2020-03-25,67
2020-03-26,132
2020-03-27,173
2020-03-28,226
2020-03-29,277
2020-03-30,353
2020-03-31,429
2020-04-01,522
2020-04-02,582
2020-04-03,664
2020-04-04,821
2020-04-05,936
2020-04-06,1059
2020-04-07,1106
2020-04-08,1210
2020-04-09,1348
2020-04-10,1413
2020-04-11,1709
2020-04-12,1860
2020-04-13,1975
2020-04-14,2122
2020-04-15,2231
2020-04-16,2451
2020-04-17,2612
2020-04-18,2757
2020-04-19,2886
2020-04-20,3014
2020-04-21,3158
2020-04-22,3325
2020-04-23,3477
2020-04-24,3618
2020-04-25,3760
2020-04-26,3962
2020-04-27,4101
2020-04-28,4268
2020-04-29,4402
2020-04-30,4559
2020-05-01,4718
2020-05-02,4910
2020-05-03,5051
2020-05-04,5199
2020-05-05,5337
2020-05-06,5497
2020-05-07,5663
2020-05-08,5811
2020-05-09,5932
2020-05-10,5955
2020-05-11,6183
2020-05-12,6287
2020-05-13,6404
2020-05-14,6553
2020-05-15,6679
2020-05-16,6755
2020-05-17,6993
2020-05-18,7086
2020-05-19,7199
2020-05-20,7393
2020-05-21,7485
2020-05-22,7634
2020-05-23,7825
2020-05-24,7939
2020-05-25,8092
2020-05-26,8179
2020-05-27,8281
2020-05-28,8392
2020-05-29,8479
2020-05-30,8619
2020-05-31,8738
2020-06-01,8886
2020-06-02,8957
2020-06-03,9111
2020-06-04,9217
2020-06-05,9346
2020-06-06,9451
2020-06-07,9546
2020-06-08,9629
2020-06-09,9676
2020-06-10,9755
2020-06-11,9789
2020-06-12,9923
2020-06-13,10053
2020-06-14,10165
2020-06-15,10222
2020-06-16,10262
2020-06-17,10309
2020-06-18,10357
2020-06-19,10447
2020-06-20,10497
2020-06-21,10544
2020-06-22,10572
2020-06-23,10611
2020-06-24,10648
2020-06-25,10683
2020-06-26,10725
2020-06-27,10751
2020-06-28,10793
2020-06-29,10822
2020-06-30,10844
2020-07-01,10902
2020-07-02,10939
2020-07-03,10973
2020-07-04,11034
2020-07-05,11071
2020-07-06,11096
2020-07-07,11111
2020-07-08,11184
2020-07-09,11221
2020-07-10,11300
2020-07-11,11353
2020-07-12,11420
2020-07-13,11467
2020-07-14,11485
2020-07-15,11625
2020-07-16,11687
2020-07-17,11728
2020-07-18,11788
2020-07-19,11841
2020-07-20,11897
2020-07-21,11949
2020-07-22,11997
2020-07-23,12037
2020-07-24,12119
2020-07-25,12188
2020-07-26,12283
2020-07-27,12339
2020-07-28,12389
2020-07-29,12448
2020-07-30,12500
2020-07-31,12593
2020-08-01,12672
2020-08-02,12746
2020-08-03,12832
2020-08-04,12888
2020-08-05,12922
2020-08-06,12978
2020-08-07,13047
2020-08-08,13105
2020-08-09,13177
2020-08-10,13247
2020-08-11,13266
2020-08-12,13348
2020-08-13,13463
2020-08-14,13508
2020-08-15,13556
2020-08-16,13614
2020-08-17,13658
2020-08-18,13698
2020-08-19,13744
2020-08-20,13785
2020-08-21,13823
2020-08-22,13864
2020-08-23,13956
2020-08-24,14007
2020-08-25,14051
2020-08-26,14090
2020-08-27,14141
2020-08-28,14184
2020-08-29,14217
2020-08-30,14255
2020-08-31,14303
2020-09-01,14337
2020-09-02,14351
2020-09-03,14427
2020-09-04,14473
