county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
allegany,24001,2020-12-25,195,152.6,0.7825641025641026,28,14.4,0.5142857142857143
anne_arundel,24003,2020-12-25,602.6,582.3,0.9663126452041154,81.1,72.3,0.8914919852034525
baltimore,24005,2020-12-25,634.3,572.1,0.9019391455147407,78.30000000000001,69.2,0.883780332056194
calvert,24009,2020-12-25,57.3,50.6,0.8830715532286214,6.9,5.9,0.855072463768116
caroline,24011,2020-12-25,NA,NA,NA,NA,NA,NA
carroll,24013,2020-12-25,160.1,151.7,0.9475327920049968,12.7,12.7,1
cecil,24015,2020-12-25,86.7,79.9,0.9215686274509804,9.1,8.6,0.945054945054945
charles,24017,2020-12-25,116.4,92,0.7903780068728522,8.4,8,0.9523809523809523
dorchester,24019,2020-12-25,NA,NA,NA,NA,NA,NA
frederick,24021,2020-12-25,219.9,180,0.8185538881309686,15.1,15,0.9933774834437087
garrett,24023,2020-12-25,NA,NA,NA,NA,NA,NA
harford,24025,2020-12-25,229.9,198.10000000000002,0.8616789908655939,36,31,0.8611111111111112
howard,24027,2020-12-25,341,205,0.6011730205278593,33,24.3,0.7363636363636363
kent,24029,2020-12-25,10.7,8.7,0.8130841121495327,0,0,NA
montgomery,24031,2020-12-25,1264,1013.7,0.8019778481012658,164.2,115.1,0.7009744214372716
prince_georges,24033,2020-12-25,1019.9,809.1,0.7933130699088147,155.9,137.1,0.8794098781270044
queen_annes,24035,2020-12-25,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-12-25,102.7,80.7,0.7857838364167478,10.4,10.3,0.9903846153846154
somerset,24039,2020-12-25,NA,NA,NA,NA,NA,NA
talbot,24041,2020-12-25,76.9,71.6,0.931079323797139,6,5.3,0.8833333333333333
washington,24043,2020-12-25,259,211.7,0.8173745173745174,28.1,24.3,0.8647686832740213
wicomico,24045,2020-12-25,344,245.3,0.7130813953488372,87,35.3,0.40574712643678157
worcester,24047,2020-12-25,58,46,0.7931034482758621,10,5,0.5
baltimore_city,24510,2020-12-25,3214.7,2472.4,0.7690919836998787,515.7,436.3,0.8460345161915842
