date,cases,new_cases,deaths,new_deaths
2020-03-18,85,28,1,NA
2020-03-19,107,22,1,0
2020-03-20,149,42,2,1
2020-03-21,190,41,2,0
2020-03-22,244,54,3,1
2020-03-23,288,44,3,0
2020-03-24,349,61,3,0
2020-03-25,423,74,4,1
2020-03-26,580,157,4,0
2020-03-27,774,194,5,1
2020-03-28,992,218,5,0
2020-03-29,1239,247,10,5
2020-03-30,1413,174,15,5
2020-03-31,1660,247,18,3
2020-04-01,1985,325,31,13
2020-04-02,2331,346,36,5
2020-04-03,2758,427,42,6
2020-04-04,3125,367,53,11
2020-04-05,3609,484,67,14
2020-04-06,4045,436,91,24
2020-04-07,4371,326,103,12
2020-04-08,5529,1158,124,21
2020-04-09,6185,656,138,14
2020-04-10,6968,783,171,33
2020-04-11,7694,726,206,35
2020-04-12,8225,531,235,29
2020-04-13,8936,711,262,27
2020-04-14,9472,536,302,40
2020-04-15,10032,560,349,47
2020-04-16,10784,752,392,43
2020-04-17,11572,788,425,33
2020-04-18,12308,736,463,38
2020-04-19,12830,522,486,23
2020-04-20,13684,854,516,30
2020-04-21,14193,509,584,68
2020-04-22,14775,582,631,47
2020-04-23,15737,962,680,49
2020-04-24,16616,879,723,43
2020-04-25,17766,1150,797,74
2020-04-26,18581,815,827,30
2020-04-27,19487,906,858,31
2020-04-28,20113,626,929,71
2020-04-29,20849,736,985,56
2020-04-30,21742,893,1047,62
2020-05-01,23472,1730,1098,51
2020-05-02,24473,1001,1156,58
2020-05-03,25462,989,1182,26
2020-05-04,26408,946,1216,34
2020-05-05,27117,709,1290,74
2020-05-06,28163,1046,1338,48
2020-05-07,29374,1211,1401,63
2020-05-08,30485,1111,1453,52
2020-05-09,31534,1049,1510,57
2020-05-10,32587,1053,1538,28
2020-05-11,33373,786,1573,35
2020-05-12,34061,688,1643,70
2020-05-13,34812,751,1694,51
2020-05-14,35903,1091,1748,54
2020-05-15,36986,1083,1792,44
2020-05-16,37968,982,1842,50
2020-05-17,38804,836,1876,34
2020-05-18,39762,958,1903,27
2020-05-19,41546,1784,1963,60
2020-05-20,42323,777,2004,41
2020-05-21,43531,1208,2045,41
2020-05-22,44424,893,2092,47
2020-05-23,45495,1071,2130,38
2020-05-24,46313,818,2162,32
2020-05-25,47152,839,2187,25
2020-05-26,47687,535,2217,30
2020-05-27,48423,736,2270,53
2020-05-28,49709,1286,2307,37
2020-05-29,50988,1279,2348,41
2020-05-30,52015,1027,2390,42
2020-05-31,52778,763,2411,21
2020-06-01,53327,549,2431,20
2020-06-02,54175,848,2474,43
2020-06-03,54982,807,2519,45
2020-06-04,55858,876,2546,27
2020-06-05,56770,912,2580,34
2020-06-06,57482,712,2616,36
2020-06-07,57973,491,2625,9
2020-06-08,58404,431,2653,28
2020-06-09,58904,500,2686,33
2020-06-10,59465,561,2719,33
2020-06-11,60197,732,2750,31
2020-06-12,60613,416,2773,23
2020-06-13,61305,692,2799,26
2020-06-14,61701,396,2811,12
2020-06-15,62032,331,2817,6
2020-06-16,62409,377,2851,34
2020-06-17,62969,560,2866,15
2020-06-18,63229,260,2886,20
2020-06-19,63548,319,2901,15
2020-06-20,63956,408,2923,22
2020-06-21,64306,350,2937,14
2020-06-22,64603,297,2945,8
2020-06-23,65007,404,2963,18
2020-06-24,65337,330,2978,15
2020-06-25,65777,440,3001,23
2020-06-26,66115,338,3015,14
2020-06-27,66450,335,3030,15
2020-06-28,66777,327,3042,12
2020-06-29,67254,477,3048,6
2020-06-30,67559,305,3062,14
2020-07-01,67918,359,3077,15
2020-07-02,68423,505,3086,9
2020-07-03,68961,538,3099,13
2020-07-04,69341,380,3111,12
2020-07-05,69632,291,3118,7
2020-07-06,69904,272,3121,3
2020-07-07,70396,492,3140,19
2020-07-08,70861,465,3149,9
2020-07-09,71447,586,3160,11
2020-07-10,71910,463,3172,12
2020-07-11,72467,557,3179,7
2020-07-12,73109,642,3188,9
2020-07-13,73527,418,3194,6
2020-07-14,74260,733,3202,8
2020-07-15,75016,756,3209,7
2020-07-16,75664,648,3215,6
2020-07-17,76371,707,3227,12
2020-07-18,77206,835,3238,11
2020-07-19,78131,925,3247,9
2020-07-20,78685,554,3252,5
2020-07-21,79545,860,3272,20
2020-07-22,80172,627,3276,4
2020-07-23,80836,664,3281,5
2020-07-24,81766,930,3293,12
2020-07-25,83054,1288,3304,11
2020-07-26,83748,694,3309,5
2020-07-27,84876,1128,3315,6
2020-07-28,85524,648,3327,12
2020-07-29,86285,761,3347,20
2020-07-30,87177,892,3357,10
2020-07-31,88346,1169,3362,5
2020-08-01,89365,1019,3374,12
2020-08-02,90274,909,3381,7
2020-08-03,91144,870,3389,8
2020-08-04,91854,710,3396,7
